Address,Suburb,CouncilArea
5 Ryder Ct,Doncaster East,Manningham
5 Hakea St,Doveton,Casey
8 Peppermint St,Doveton,Casey
2 Andrews St,Eltham,Nillumbik
119 Dalton St,Eltham,Nillumbik
11 Thornton St,Eltham,Nillumbik
11 Joyce St,Elwood,Port Phillip
10 Hastings Ct,Epping,Whittlesea
20 Orlit Ct,Epping,Whittlesea
3/157 Deakin St,Essendon,Moonee Valley
50 Ogilvie St,Essendon,Moonee Valley
25 Prince St,Essendon North,Moonee Valley
44 Separation St,Fairfield,Darebin
7 Separation St,Fairfield,Darebin
15 Dorothy St,Fawkner,Moreland
34 Stanford Cl,Fawkner,Moreland
90 Bennett St,Fitzroy North,Yarra
41 Parkmore Rd,Forest Hill,Whitehorse
5 Miranda Pl,Frankston,Frankston
49 Fleetwood Cr,Frankston South,Frankston
13 Leslie St,Frankston South,Frankston
7 Wyralla Cr,Gisborne,Macedon Ranges
5 Gatis St,Glen Iris,Boroondara
1A Rosemary Gr,Glen Iris,Boroondara
111 Tooronga Rd,Glen Iris,Stonnington
31 Chapman Bvd,Glen Waverley,Monash
45 Kennedy St,Glen Waverley,Monash
50 Madigan Dr,Glen Waverley,Monash
76 Daley St,Glenroy,Moreland
34 Crana Gr,Greensborough,Nillumbik
6 Murumba St,Greensborough,Banyule
24 Posy St,Greenvale,Hume
39 Alexander St,Hallam,Casey
4 Bolton Av,Hampton,Bayside
16 Conifer St,Hampton,Bayside
41 Grout St,Hampton,Bayside
15 May St,Hampton,Bayside
102 Willis St,Hampton,Bayside
11 Keiller St,Hampton East,Bayside
32 Lonsdale Av,Hampton East,Bayside
357 Auburn Rd,Hawthorn,Boroondara
25 William St,Hawthorn,Boroondara
122 Altona St,Heidelberg West,Banyule
110 Allenby Rd,Hillside,Melton
3 Dryburgh Pl,Hillside,Melton
13 Doynton Pde,Hoppers Crossing,Wyndham
9 Matthew Cl,Hoppers Crossing,Wyndham
17 McCormack Cr,Hoppers Crossing,Wyndham
17 Emu Pde,Jacana,Hume
6 Riverside Av,Keilor,Brimbank
16 Ash Gr,Keilor East,Moonee Valley
11 Wunnamurra Dr,Keilor East,Moonee Valley
14 Atkins St,Kew,Boroondara
2/17 Marshall Av,Kew,Boroondara
130 Sackville St,Kew,Boroondara
115 Belford Rd,Kew East,Boroondara
50 Windella Av,Kew East,Boroondara
5 Woodlands Av,Kew East,Boroondara
22 Woolcock Av,Kew East,Boroondara
70 Chirnside St,Kingsville,Maribyrnong
5 Wales St,Kingsville,Maribyrnong
2 Blackwood St,Lalor,Whittlesea
6 Everest Ct,Lalor,Whittlesea
32 Milton Pde,Malvern,Stonnington
27 Wheatland Rd,Malvern,Stonnington
25 Darebin Ct,Meadow Heights,Hume
1/131 Balcombe Rd,Mentone,Kingston
11 Broome Av,Mentone,Kingston
21 Chicquita Cct,Mentone,Kingston
2/33 Allwyn Cr,Mill Park,Whittlesea
68 Heritage Dr,Mill Park,Whittlesea
20 Mayfield Dr,Mill Park,Whittlesea
36/292 McKimmies Rd,Mill Park,Whittlesea
9 Taree Pl,Mill Park,Whittlesea
9 Valadero Ct,Mill Park,Whittlesea
55 Burnett St,Mitcham,Whitehorse
46 Churinga Av,Mitcham,Whitehorse
13 Willow Av,Mitcham,Whitehorse
1/11 Rowland St,Mont Albert,Whitehorse
85 Victoria Cr,Mont Albert,Whitehorse
21 Sackville St,Montmorency,Banyule
48 Vine St,Moonee Ponds,Moonee Valley
113 Wilson St,Moonee Ponds,Moonee Valley
2/165 Wickham Rd,Moorabbin,Kingston
5 Reys Cl,Mordialloc,Kingston
